"All-New Spectra EX"
"Picanto 1.1 LX Automatic"
"Potentia"
"Potentia 2.5"
"Pregio"
"Pregio 2.7 D"
"Pregio 2.7 D Cargo"
"Pregio 2.7D Cargo Van"
"Pregio 2.7 D Panel Van"
"Pregio 2.7D Panel Van"
"Pregio Cargo Van 2.7 D"
"Pride Wagon"
"Pro-ceed 1.6 CRDi"
"Pro-ceed 2.0 CRDi"
"Pro_ceed 2.0 CVVT"
"Retona"
"Rio"
"Rio 1.3 L"
"Rio 1.3 LS"
"Rio 1.3 RS"
"Rio 1.3 Sport"
"Rio 1.4"
"Rio 1.4 Automatic"
"Rio 1.4 High"
"Rio 1.4 High Automatic"
"Rio 1.4 Man"
"Rio 1.5 Hatchback"
"Rio 1.5 LS"
"Rio 1.5 Sedan"
"Rio 1.6"
"Rio 1.6 LX"
"Rio 1.6 SX"
"Rio Cinco Wagon"
"Rio Hatchback"
"Rio Sedan"
"Rondo 2.4"
"Rondo EX"
"Rondo EX V6"
"Rondo LX"
"Rondo LX V6"
"Sedona 2.5"
"Sedona 2.5 Automatic"
"Sedona 2.5l"
"Sedona 2.5l Automatic"
"Sedona 2.9 CRDi"
"Sedona 2.9 CRDi Automatic"
"Sedona 3.5"
"Sedona 3.8"
"Sedona 3.8 Automatic"
"Sedona 3.8 EX"
"Sedona 3.8 EX Long"
"Sedona 3.8 LX"
"Sedona 3.8 LX Long"
"Sedona EX"
"Sedona LX"
"Sephia"
"Sephia II"
"Sephia II 1.6"
"Sephia II 1.8"
"Shuma"
"Shuma 1.8"
"Shuma 1.8 Active"
"Shuma 1.8 Sport"
"Shuma 1.8 Wave"
"Shuma II 1.6"
"Shuma II 1.8 Active"
"Shuma II 1.8 Sport"
"Shuma II 1.8 Wave"
"Sorento"
"Sorento 2.4 EX"
"Sorento 2.4 LX"
"Sorento 2.5 CDRi Automatic"
"Sorento 2.5 CDRI Automatic"
"Sorento 2.5 CRDi"
"Sorento 2.5 CRDI"
"Sorento 2.5 CRDi 4x4"
"Sorento 2.5 CRDi 4x4 Automatic"
"Sorento 2.5 CRDi Automatic"
"Sorento 2.5 CRDi EX"
"Sorento 2.5 CRDi LX"
"Sorento 2.5 D"
"Sorento 3.3"
"Sorento 3.3 LX"
"Sorento 3.3 V6"
"Sorento 3.5 EX 4x4"
"Sorento 3.5 LX"
"Sorento 3.5 LX 4x4"
"Sorento 3.5 V6 Automatic"
"Sorento 3.5 V6 EX"
"Sorento 3.8"
"Sorento 3.8 4x4 Automatic"
"Sorento 3.8 Automatic"
"Sorento 3.8 EX"
"Sorento 3.8 V6 Automatic"
"Sorento 3.8 V6 Automatic 4x4"
"Sorento EX"
"Sorento EX 4x4"
"Sorento L3.3 X 4x4"
"Sorento LX"
"Sorento LX 4x4"
"Spectra"
"Spectra 1.6 LS"
"Spectra 1.8 GSX"
"Spectra 1.8 Sedan"
"Spectra 2.0"
"Spectra 2.0 EX"
"Spectra 2.0 LX"
"Spectra 2.0LX"
"Spectra 2.0 SX"
"Spectra5"
"Spectra5 SX"
"Spectra EX"
"Spectra GS"
"Spectra LX"
"Spectra SX"
"Sportage"
"Sportage 2.0"
"Sportage 2.0 2WD LX"
"Sportage 2.0 4x4"
"Sportage 2.0 4x4 Automatic"
"Sportage 2.0 4x4 CRDi"
"Sportage 2.0 Automatic"
"Sportage 2.0 CRDi"
"Sportage 2.0 CRDi LX"
"Sportage 2.0 D"
"Sportage 2.0 D Cabriolet"
"Sportage 2.0i 4x4 CRDi"
"Sportage 2.0i CRDi 4x4 Automatic"
"Sportage 2.0 L 2WD"
"Sportage 2.0 L 4WD"
"Sportage 2.0L Automatic"
"Sportage 2.0L Automatic 4x4"
"Sportage 2.0L CRDi 4x4"
"Sportage 2.0 LX"
"Sportage 2.0 LX 4WD"
"Sportage 2.0 Ruff & Tuff"
"Sportage 2.7"
"Sportage 2.7 4x4 Automatic"
"Sportage 2.7 EX V6"
"Sportage 2.7 EX V6 4WD"
"Sportage 2.7i 4x4 Automatic"
"Sportage 2.7L Automatic 4x4"
"Sportage 2.7 LX"
"Sportage 2.7 LX 4WD"
"Sportage 2.7 LX V6"
"Sportage 2.7 LX V6 4WD"
"Sportage 2.7 V6"
"Sportage Cabriolet"
"Sportage EX"
"Sportage EX 4WD"
"Sportage EX V6"
"Sportage EX V6 4WD"
"Sportage LX 4WD"
"Sportage LX V6"
"Towner"
"Towner 0.8"
"Visto"
"Visto 0.8"
"Xedos"
