"100 NX"
"Skyline 2.8 D"
"Skyline C 10"
"Skyline C10"
"Skyline C 110"
"Skyline C110"
"Skyline C 210"
"Skyline C210"
"Skyline GT-R"
"Skyline HT 2000 GT-R"
"Skyline HT 2000 GTR"
"Skyline HT 2000GT-R"
"Sport"
"Sports DC-3"
"Stagea"
"Stagea 2.5"
"Stagea Autech 260 RS"
"Stanza"
"Stanza 1.8"
"Stanza 2.0"
"Stanza A10"
"Sunny"
"Sunny 1000"
"Sunny 1200"
"Sunny 120 Y"
"Sunny 120 Y Break"
"Sunny 1.3"
"Sunny 1.4 Coupe"
"Sunny 1.6"
"Sunny 1.6 Wagon"
"Sunny 1.7 Diesel"
"Sunny 1.8"
"Sunny 2.0"
"Sunny 2.0 Diesel"
"Sunny 2.0 Wagon"
"Sunny Coupe"
"Sunny Wagon"
"SUT"
"Terrano"
"Terrano 2.7 Diesel"
"Terrano 2.7 D II Wagon"
"Terrano 2.7 TD Comfort"
"Terrano 2.7 TD Comfort Long"
"Terrano 2.7 TDi"
"Terrano 3.0 Di Elegance"
"Terrano 3.0 Di Elegance Long"
"Terrano II"
"Terrano II 2.7 D"
"Terrano II 2.7 Diesel"
"Terrano II 2.7 TDi"
"Terrano II 3.0 Diesel"
"Terrano II 3.0 D Wagon"
"Terrano II Wagon"
"Tiida 1.5 dCi"
"Tiida 1.6"
"Tiida 1.6 Visia"
"Tiida 1.8"
"Titan"
"Titan Crew Cab"
"Titan Crew Cab LE"
"Titan Crew Cab LE 4WD"
"Titan Crew Cab LE 4x4"
"Titan Crew Cab PRO-4X"
"Titan Crew Cab SE"
"Titan Crew Cab SE 4x4"
"Titan Crew Cab XE"
"Titan Crew Cab XE 4WD"
"Titan Crew Cab XE 4x4"
"Titan King Cab LE"
"Titan King Cab LE 4x4"
"Titan King Cab PRO-4X"
"Titan King Cab SE"
"Titan King Cab SE 4x4"
"Titan King Cab XE"
"Titan King Cab XE 4x4"
"Trailrunner"
"Vanette"
"Vanette 2.0 D"
"Versa"
"Versa 1.6"
"Versa 1.8 S"
"Versa 1.8 S Hatch"
"Versa 1.8 S Hatchback"
"Versa 1.8 SL"
"Versa 1.8 SL Hatch"
"Versa 1.8 SL Hatchback"
"Versa Hatchback 1.8 S"
"Versa Hatchback 1.8 SL"
"Violet 1.4 A10"
"Violet 1.6 710"
"Violet 1.6 A10"
"Violet 710"
"Violet A-10"
"Violet A10"
"Violet Auster A10"
"Xterra"
"Xterra 3.3"
"Xterra 4.0"
"Xterra OR"
"Xterra OR 4x4"
"Xterra S"
"Xterra S 4x4"
"Xterra SE"
"Xterra SE 4WD"
"Xterra SE 4x4"
"Xterra SE Supercharged"
"Xterra X"
"Xterra X 4x4"
"Xterra XE 4x4"
"Xterra XE I4"
"X Trail"
"X-Trail"
"X-Trail 2.0"
"X-Trail 2.0 Comfort"
"X-Trail 2.0 Petrol XE"
"X-Trail 2.2 D"
"X-Trail 2.2 D 4x4 Comfort"
"X-Trail 2.2 D 4x4 SE"
"X-Trail 2.2D 4x4 SE"
"X-Trail 2.2 dCi 4x4 Comfort"
"X Trail 2.2 dCi Comfort"
"X-Trail 2.2 DCi Comfort"
"X-Trail 2.2 D Limited 4x4"
"XTrail 2.2 D SE 4x4"
"X-Trail 2.5 4x4"
"X-Trail 2.5 4x4 SE"
"X-Trail 2.5 4x4 SE Automatic"
"X-Trail 2.5 4x4 Sport"
"X-Trail 2.5i Limited 4x4"
"X-Trail 2.5i Limited 4x4 Automatic"
"X-Trail 2.5 Petrol 4x4 SE"
"X-Trail 2.5 SE 4x4"
"X-Trail 2.5 SE 4x4 Automatic"
"X Trail 2.5 Sport"
"XVL"
"Z"
"Zaroot"
