"Accent"
"Marcia 2.5"
"Matrix"
"Matrix 1.5 CRDi GLS"
"Matrix 1.5 D"
"Matrix 1.6"
"Matrix 1.6 GL"
"Matrix 1.6 GLS"
"Matrix 1.8"
"Matrix 1.8 GLS"
"Neos"
"Panel Van"
"Pony"
"Pony 1.3 GL"
"Pony 1.3 LS"
"Pony 1.3 Saloon"
"Pony 1.4"
"Pony 1.5"
"Pony 1.5 GLS"
"Pony 1.5 Saloon"
"Pony Coupe"
"Pony Wagon"
"Portico"
"Santa 2.0 D Fe"
"Santa 2.4 Fe"
"Santa 2.7 Fe"
"Santa 3.5 Fe"
"Santa Fe"
"Santa Fe 2.0 CRDi GLS"
"Santa Fe 2.0 CRDi GLS 4WD"
"Santa Fe 2.0 CRDi VGT 4WD"
"Santa Fe 2.0 TD"
"Santa Fe 2.2 CRDi"
"Santa Fe 2.2 CRDi 4WD"
"Santa Fe 2.2 CRDi Automatic"
"Santa Fe 2.4"
"Santa Fe 2.4 4WD"
"Santa Fe 2.7"
"Santa Fe 2.7 4WD"
"Santa Fe 2.7 Automatic"
"Santa Fe 2.7 GLS"
"Santa Fe 2.7 GLS 4WD"
"Santa Fe 2.7 GLS AWD"
"Santa Fe 2.7 V6"
"Santa Fe 2.7 V6 4WD"
"Santa Fe 2.7 V6 GLS 4WD"
"Santa Fe 3.3 Limited"
"Santa Fe 3.3 Limited AWD"
"Santa Fe 3.3 SE"
"Santa Fe 3.3 SE 4WD"
"Santa Fe 3.3 SE AWD"
"Santa Fe 3.5 GLS"
"Santa Fe 3.5 GLS4WD"
"Santa Fe 3.5 Limited"
"Santa Fe 3.5 Limited 4WD"
"Santa Fe GLS 2.7 L 4WD"
"Santa Fe GLS 3.5 L"
"Santa Fe GLS 3.5 L 4WD"
"Santa Fe LX 4WD"
"Sante Fe 2.2 CRDi"
"Satellite"
"Satellite 2.5 D"
"Scoupe"
"Scoupe 1.5"
"S Coupe GT"
"S-Coupe LS"
"Sonata"
"Sonata 1.8"
"Sonata 2.0"
"Sonata 2.0 CRDi"
"Sonata 2.0 GLS"
"Sonata 2.4"
"Sonata 2.4 Automatic"
"Sonata 2.4 CDX"
"Sonata 2.4 CDX Automatic"
"Sonata 2.4 GL"
"Sonata 2.4 GLS"
"Sonata 2.4 GLS Automatic"
"Sonata 2.4 GLS XM"
"Sonata 2.4 Limited"
"Sonata 2.4 SE"
"Sonata 2.5 GLS V6"
"Sonata 2.7"
"Sonata 2.7 V6 GLS"
"Sonata 2.7 V6 GLS H-Matic"
"Sonata 3.0"
"Sonata 3.0 V6"
"Sonata 3.3 GLS"
"Sonata 3.3 GLS V6"
"Sonata 3.3 Limited"
"Sonata 3.3 Limited V6"
"Sonata 3.3 LTD XM"
"Sonata 3.3 LX"
"Sonata 3.3 SE"
"Sonata3.3 SE XM"
"Sonata 3.3 V6 GLS"
"Sonata GLS"
"Sonata GLS Special"
"Sonata Limited"
"Sonata LX"
"Sonata Sedan"
"Sonata SE V6"
"Sonata Vivante 2.5 GLS"
"Stellar 1400"
"Stellar 1600 GSL"
"Stellar 2.0"
"Terracan"
"Terracan 2.5"
"Terracan 2.9 CRDi"
"Terracan 2.9 CRDi Automatic"
"Terracan 2.9 CRDi GL"
"Terracan 2.9 CRDi GLS"
"Terracan 2.9 D"
"Terracan 3.5 Automatic"
"Terracan 3.5 V6 Automatic"
"Tiburon"
"Tiburon 2.0"
"Tiburon 2.0 GLS"
"Tiburon 2.0 GS"
"Tiburon 2.7 GLS"
"Tiburon 2.7 GS"
"Tiburon 2.7 GT"
"Tiburon 2.7 GT LTD"
"Tiburon 2.7 SE"
"Tiburon 2.7 V6 GLS"
"Tiburon 2.7 V6 GLS 6 Spd"
"Tiburon GS"
"Tiburon GT"
"Tiburon GT V6"
"Tiburon GT V6 Special Edition"
"Tiburon SE"
"Tipper 2600i D"
"Trajet"
"Trajet 2.0 CRDi"
"Trajet 2.0 CRDi GLS"
"Trajet 2.0 GLS"
"Trajet 2.0i"
"Trajet 2.0i 16V"
"Trajet 2.7 GLS"
"Trajet 2.7 GLS Comfort"
"Trajet 2.7 V6 GLS"
"Trajet 2.7 V6 GLS Comfort"
"Tucson"
"Tucson 2.0"
"Tucson 2.0 4WD"
"Tucson 2.0 4WD GLS"
"Tucson 2.0 CRDi"
"Tucson 2.0 CRDi 4WD GLS"
"Tucson 2.0 CRDi 4x4 H-Matic"
"Tucson 2.0 CRDi GLS"
"Tucson 2.0 CRDi GLS 4WD"
"Tucson 2.0 CRDi H-Matic 4WD"
"Tucson 2.0 GL"
"Tucson 2.0 GL 4WD"
"Tucson 2.0 GLS"
"Tucson 2.0 GLS 4WD"
"Tucson 2.0 GLS 4x4"
"Tucson 2.0 GLS AWD"
"Tucson 2.0 Limited"
"Tucson 2.7"
"Tucson 2.7 4WD"
"Tucson 2.7 GLS"
"Tucson 2.7 GLS 4WD"
"Tucson 2.7 GLS 4x4 H-Matic"
"Tucson 2.7 GLS H-Matic 4WD"
"Tucson 2.7 Limited"
"Tucson 2.7 Limited 4WD"
"Tucson 2.7 SE"
"Tucson 2.7 SE 4WD"
"Tucson 2.7 V6 4WD"
"Tucson GL 2.0"
"Tucson GL 2.0 4WD"
"Tucson GLS 2.7"
"Tucson GLS 2.7 AWD"
"Tucson Limited 2.7"
"Tucson Limited 2.7 4WD"
"Tucson LX 2.7"
"Tucson LX 2.7 4WD"
"Tucson SE 2.7"
"Tucson SE 2.7 4WD"
"Tucson SE 2.7 AWD"
"Tuscon 2.0"
"Veracruz"
"Veracruz GLS"
"Veracruz GLS 4WD"
"Veracruz GLS AWD"
"Veracruz Limited"
"Veracruz Limited 4WD"
"Veracruz Limited AWD"
"Veracruz SE"
"Veracruz SE 4WD"
"XG"
"XG 300"
"XG 350"
"XG 350 L"
